cntry,latitude,longitude,happy
Albania,41.000028,19.9999619,6.410684474123539
Belgium,50.6402809,4.6667145,7.689138576779026
Bulgaria,42.6073975,25.4856617,5.274236983842011
Cyprus,34.9823018,33.1451285,7.195298372513562
Czechia,49.8167003,15.4749544,6.641874681609781
Denmark,55.670249,10.3333283,8.382978723404255
Estonia,58.7523778,25.3319078,6.818066694807936
Finland,63.2467777,25.9209164,8.085271317829458
France,46.603354,1.8883335,7.166158536585366
Germany,51.0834196,10.4234469,7.634856175972927
Hungary,47.1817585,19.5060937,6.104633781763827
Iceland,64.9841821,-18.1059013,8.205093833780161
Ireland,52.865196,-7.9794599,7.058374666157955
Israel,31.5313113,34.8667654,7.854538087520259
Italy,42.6384261,12.674297,7.08870116156283
Kosovo,42.5869578,20.9021231,6.443396226415095
Lithuania,55.3500003,23.7499997,6.377073170731707
Netherlands,52.5001698,5.7480821,7.808360477741585
Norway,60.5000209,9.0999715,8.161828289067326
Poland,52.215933,19.134422,7.317333333333333
Portugal,40.0332629,-7.8896263,6.439775910364146
Russian Federation,64.6863136,97.7453061,6.219172470299058
Slovakia,48.6726975,19.63679421037233,6.6542669584245075
Slovenia,45.8133113,14.4808369,7.258373205741627
Spain,39.3260685,-4.8379791,7.574005305039788
Sweden,59.6749712,14.5208584,7.818526543878656
Switzerland,46.813331250000005,8.444947437939408,8.082605775688382
Ukraine,49.4871968,31.2718321,6.078588235294117
United Kingdom,54.7023545,-3.2765753,7.502415458937198
