states,wellbeing,value
Albania,Bad_feeling,3
Albania,Meaning_and_purpose,9
Albania,Good_feeling,1
Albania,OAP,7
Albania,Social_skepticism,0
Albania,Community_wellbeing,0
Belgium,Bad_feeling,7
Belgium,Meaning_and_purpose,4
Belgium,Good_feeling,6
Belgium,OAP,4
Belgium,Social_skepticism,4
Belgium,Community_wellbeing,2
Bulgaria,Bad_feeling,3
Bulgaria,Meaning_and_purpose,2
Bulgaria,Good_feeling,0
Bulgaria,OAP,3
Bulgaria,Social_skepticism,0
Bulgaria,Community_wellbeing,4
Switzerland,Bad_feeling,7
Switzerland,Meaning_and_purpose,5
Switzerland,Good_feeling,9
Switzerland,OAP,9
Switzerland,Social_skepticism,7
Switzerland,Community_wellbeing,5
Cyprus,Bad_feeling,5
Cyprus,Meaning_and_purpose,5
Cyprus,Good_feeling,6
Cyprus,OAP,6
Cyprus,Social_skepticism,0
Cyprus,Community_wellbeing,2
Czechia,Bad_feeling,3
Czechia,Meaning_and_purpose,0
Czechia,Good_feeling,5
Czechia,OAP,0
Czechia,Social_skepticism,3
Czechia,Community_wellbeing,0
Germany,Bad_feeling,7
Germany,Meaning_and_purpose,5
Germany,Good_feeling,7
Germany,OAP,7
Germany,Social_skepticism,5
Germany,Community_wellbeing,5
Denmark,Bad_feeling,9
Denmark,Meaning_and_purpose,6
Denmark,Good_feeling,10
Denmark,OAP,9
Denmark,Social_skepticism,10
Denmark,Community_wellbeing,5
Estonia,Bad_feeling,4
Estonia,Meaning_and_purpose,3
Estonia,Good_feeling,4
Estonia,OAP,4
Estonia,Social_skepticism,5
Estonia,Community_wellbeing,1
Spain,Bad_feeling,5
Spain,Meaning_and_purpose,5
Spain,Good_feeling,4
Spain,OAP,3
Spain,Social_skepticism,4
Spain,Community_wellbeing,4
Finland,Bad_feeling,8
Finland,Meaning_and_purpose,5
Finland,Good_feeling,7
Finland,OAP,6
Finland,Social_skepticism,8
Finland,Community_wellbeing,2
France,Bad_feeling,4
France,Meaning_and_purpose,3
France,Good_feeling,5
France,OAP,4
France,Social_skepticism,4
France,Community_wellbeing,2
United Kingdom,Bad_feeling,6
United Kingdom,Meaning_and_purpose,2
United Kingdom,Good_feeling,5
United Kingdom,OAP,4
United Kingdom,Social_skepticism,6
United Kingdom,Community_wellbeing,3
Hungary,Bad_feeling,1
Hungary,Meaning_and_purpose,3
Hungary,Good_feeling,1
Hungary,OAP,0
Hungary,Social_skepticism,4
Hungary,Community_wellbeing,6
Ireland,Bad_feeling,7
Ireland,Meaning_and_purpose,2
Ireland,Good_feeling,6
Ireland,OAP,6
Ireland,Social_skepticism,6
Ireland,Community_wellbeing,5
Israel,Bad_feeling,7
Israel,Meaning_and_purpose,5
Israel,Good_feeling,6
Israel,OAP,8
Israel,Social_skepticism,5
Israel,Community_wellbeing,3
Iceland,Bad_feeling,7
Iceland,Meaning_and_purpose,4
Iceland,Good_feeling,9
Iceland,OAP,6
Iceland,Social_skepticism,8
Iceland,Community_wellbeing,10
Italy,Bad_feeling,4
Italy,Meaning_and_purpose,3
Italy,Good_feeling,3
Italy,OAP,5
Italy,Social_skepticism,3
Italy,Community_wellbeing,2
Lithuania,Bad_feeling,4
Lithuania,Meaning_and_purpose,2
Lithuania,Good_feeling,1
Lithuania,OAP,2
Lithuania,Social_skepticism,4
Lithuania,Community_wellbeing,2
Netherlands,Bad_feeling,6
Netherlands,Meaning_and_purpose,5
Netherlands,Good_feeling,8
Netherlands,OAP,4
Netherlands,Social_skepticism,7
Netherlands,Community_wellbeing,3
Norway,Bad_feeling,10
Norway,Meaning_and_purpose,2
Norway,Good_feeling,9
Norway,OAP,7
Norway,Social_skepticism,9
Norway,Community_wellbeing,6
Poland,Bad_feeling,6
Poland,Meaning_and_purpose,5
Poland,Good_feeling,6
Poland,OAP,5
Poland,Social_skepticism,1
Poland,Community_wellbeing,3
Portugal,Bad_feeling,4
Portugal,Meaning_and_purpose,1
Portugal,Good_feeling,2
Portugal,OAP,3
Portugal,Social_skepticism,1
Portugal,Community_wellbeing,3
Russian Federation,Bad_feeling,2
Russian Federation,Meaning_and_purpose,2
Russian Federation,Good_feeling,2
Russian Federation,OAP,1
Russian Federation,Social_skepticism,3
Russian Federation,Community_wellbeing,0
Sweden,Bad_feeling,8
Sweden,Meaning_and_purpose,1
Sweden,Good_feeling,8
Sweden,OAP,7
Sweden,Social_skepticism,8
Sweden,Community_wellbeing,6
Slovenia,Bad_feeling,8
Slovenia,Meaning_and_purpose,3
Slovenia,Good_feeling,8
Slovenia,OAP,7
Slovenia,Social_skepticism,3
Slovenia,Community_wellbeing,4
Slovakia,Bad_feeling,3
Slovakia,Meaning_and_purpose,0
Slovakia,Good_feeling,5
Slovakia,OAP,2
Slovakia,Social_skepticism,1
Slovakia,Community_wellbeing,3
Ukraine,Bad_feeling,0
Ukraine,Meaning_and_purpose,0
Ukraine,Good_feeling,2
Ukraine,OAP,2
Ukraine,Social_skepticism,3
Ukraine,Community_wellbeing,2
Kosovo,Bad_feeling,3
Kosovo,Meaning_and_purpose,6
Kosovo,Good_feeling,2
Kosovo,OAP,10
Kosovo,Social_skepticism,0
Kosovo,Community_wellbeing,5
